População residente  (pessoas);

UF;CÓDIGO;NOME;Valor;
GO;521640;Paraúna;10863;
GO;521645;Perolândia;2950;
GO;521680;Petrolina de Goiás;10283;
GO;521690;Pilar de Goiás;2773;
GO;521710;Piracanjuba;24026;
GO;521720;Piranhas;11266;
GO;521730;Pirenópolis;23006;
GO;521740;Pires do Rio;28762;
GO;521760;Planaltina;81649;
GO;521770;Pontalina;17121;
GO;521800;Porangatu;42355;
GO;521805;Porteirão;3347;
GO;521810;Portelândia;3839;
GO;521830;Posse;31419;
GO;521839;Professor Jamil;3239;
GO;521850;Quirinópolis;43220;
GO;521860;Rialma;10523;
GO;521870;Rianápolis;4566;
GO;521878;Rio Quente;3312;
GO;521880;Rio Verde;176424;
GO;521890;Rubiataba;18915;
GO;521900;Sanclerlândia;7550;
GO;521910;Santa Bárbara de Goiás;5751;
GO;521920;Santa Cruz de Goiás;3142;
GO;521925;Santa Fé de Goiás;4762;
GO;521930;Santa Helena de Goiás;36469;
GO;521935;Santa Isabel;3686;
GO;521940;Santa Rita do Araguaia;6924;
GO;521945;Santa Rita do Novo Destino;3173;
GO;521950;Santa Rosa de Goiás;2909;
GO;521960;Santa Tereza de Goiás;3995;
GO;521970;Santa Terezinha de Goiás;10302;
GO;521971;Santo Antônio da Barra;4423;
GO;521973;Santo Antônio de Goiás;4703;
GO;521975;Santo Antônio do Descoberto;63248;
GO;521980;São Domingos;11272;
GO;521990;São Francisco de Goiás;6120;
GO;522000;São João d`Aliança;10257;
GO;522005;São João da Paraúna;1689;
GO;522010;São Luís de Montes Belos;30034;
GO;522015;São Luíz do Norte;4617;
GO;522020;São Miguel do Araguaia;22283;
GO;522026;São Miguel do Passa Quatro;3757;
GO;522028;São Patrício;1991;
GO;522040;São Simão;17088;
GO;522045;Senador Canedo;84443;
GO;522050;Serranópolis;7481;
GO;522060;Silvânia;19089;
GO;522068;Simolândia;6514;
GO;522070;Sítio d`Abadia;2825;
GO;522100;Taquaral de Goiás;3541;
GO;522108;Teresina de Goiás;3016;
GO;522119;Terezópolis de Goiás;6561;
GO;522130;Três Ranchos;2819;
GO;522140;Trindade;104488;
GO;522145;Trombas;3452;
GO;522150;Turvânia;4839;
GO;522155;Turvelândia;4399;
GO;522157;Uirapuru;2933;
GO;522160;Uruaçu;36929;
GO;522170;Uruana;13826;
GO;522180;Urutaí;3074;
GO;522185;Valparaíso de Goiás;132982;
GO;522190;Varjão;3659;
GO;522200;Vianópolis;12548;
GO;522205;Vicentinópolis;7371;
GO;522220;Vila Boa;4735;
GO;522230;Vila Propício;5145;

Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística;

